unique_id,ds,y,y_hat_naive2
W1,2011-10-09,35397.16,35347.12788791209
W1,2011-10-16,35808.59,35476.266108567084
W1,2011-10-23,35808.59,35430.07807738054
W1,2011-10-30,36246.14,35790.65919833825
W1,2011-11-06,36246.14,35785.35420834972
W1,2011-11-13,36403.7,35895.237388521964
W1,2011-11-20,36403.7,35792.68796689991
W1,2011-11-27,36150.2,36002.67006540161
W1,2011-12-04,36150.2,35879.81966128496
W1,2011-12-11,35790.55,35638.50529505288
W1,2011-12-18,35790.55,35554.76768778191
W1,2011-12-25,34066.95,35078.9775624048
W1,2012-01-01,34066.95,35085.28682031188
W10,1987-11-29,5122.14,5095.522502176102
W10,1987-12-06,5104.68,5229.217952787067
W10,1987-12-13,5104.68,5249.194564288656
W10,1987-12-20,5104.68,5437.8864707969415
W10,1987-12-27,5565.7,5405.980678518662
W10,1988-01-03,5565.7,5385.218653496082
W10,1988-01-10,5565.7,5368.485124478321
W10,1988-01-17,5565.7,5430.144168721227
W10,1988-01-24,5565.7,5403.884331274301
W10,1988-01-31,5544.94,5317.239655090498
W10,1988-02-07,5544.94,5244.12884731775
W10,1988-02-14,5544.94,5315.157372217645
W10,1988-02-21,5544.94,5303.967129835783
W100,2013-10-06,11474.49,11322.54360843299
W100,2013-10-13,11875.5,11368.502320884218
W100,2013-10-20,11517.02,11336.36531272458
W100,2013-10-27,11305.8,11333.733352590698
W100,2013-11-03,11423.14,11328.416661962252
W100,2013-11-10,11647.5,11338.463608673304
W100,2013-11-17,11632.38,11300.712829179889
W100,2013-11-24,11729.89,11324.457598746016
W100,2013-12-01,11679.04,11239.822730053922
W100,2013-12-08,11740.51,11200.573024068857
W100,2013-12-15,11934.32,11240.311970347519
W100,2013-12-22,11741.1,11241.581908826682
W100,2013-12-29,11634.37,11194.472824505727
W11,1987-11-29,337.19,335.7623788116793
W11,1987-12-06,359.52,320.7218993656525
W11,1987-12-13,357.62,345.70375537441817
W11,1987-12-20,368.22,331.4112998452643
W11,1987-12-27,328.77,315.02248794131987
W11,1988-01-03,391.31,316.23344428609295
W11,1988-01-10,340.06,304.99815448150235
W11,1988-01-17,323.19,311.94991373304447
W11,1988-01-24,323.3,306.5932888418476
W11,1988-01-31,339.94,310.8489784013639
W11,1988-02-07,316.45,307.1469387388954
W11,1988-02-14,295.99,307.65227255901095
W11,1988-02-21,280.07,305.59238918218114
W12,1978-10-08,1092.0,1036.0
W12,1978-10-15,1085.0,1036.0
W12,1978-10-22,1078.0,1036.0
W12,1978-10-29,1071.0,1036.0
W12,1978-11-05,1064.0,1036.0
W12,1978-11-12,1057.0,1036.0
W12,1978-11-19,1050.0,1036.0
W12,1978-11-26,1043.0,1036.0
W12,1978-12-03,1092.0,1036.0
W12,1978-12-10,1085.0,1036.0
W12,1978-12-17,1078.0,1036.0
W12,1978-12-24,1071.0,1036.0
W12,1978-12-31,1064.0,1036.0
W13,1983-10-30,2373.445,2513.309682138836
W13,1983-11-06,2373.105,2539.683306863425
W13,1983-11-13,2453.974,2527.0665515174974
W13,1983-11-20,2390.353,2541.008288832226
W13,1983-11-27,2324.83,2535.2831692651393
W13,1983-12-04,2337.239,2542.8965581991793
W13,1983-12-11,2375.971,2546.8351331703466
W13,1983-12-18,2398.802,2530.254640408047
W13,1983-12-25,2350.108,2542.7852441007412
W13,1984-01-01,2363.517,2547.4602166080135
W13,1984-01-08,2484.652,2586.736320422225
W13,1984-01-15,2558.814,2594.9741431850885
W13,1984-01-22,2653.311,2557.9299413723006
W14,1983-10-30,2341.516,2461.153855697053
W14,1983-11-06,2407.573,2470.0019193573285
W14,1983-11-13,2435.3,2484.6444627067317
W14,1983-11-20,2361.92,2468.997112492193
W14,1983-11-27,2310.927,2480.5690136668522
W14,1983-12-04,2322.117,2482.004971253696
W14,1983-12-11,2408.718,2480.2362902352515
W14,1983-12-18,2476.214,2471.9827805002315
W14,1983-12-25,2361.203,2511.4612990303676
W14,1984-01-01,2393.436,2522.3913124254987
W14,1984-01-08,2552.503,2528.005588804749
W14,1984-01-15,2554.351,2560.255049229051
W14,1984-01-22,2500.651,2451.885174366202
W15,1983-10-30,4231.0,5274.064290763873
W15,1983-11-06,4311.68,5434.662564673884
W15,1983-11-13,3848.09,5566.834022912414
W15,1983-11-20,4149.38,5312.2380455818675
W15,1983-11-27,3633.49,5213.935004236692
W15,1983-12-04,3553.49,5352.561050834346
W15,1983-12-11,3743.59,5238.778527588933
W15,1983-12-18,4626.91,5115.584336575757
W15,1983-12-25,4235.48,5049.244247071031
W15,1984-01-01,4288.81,5324.374047927173
W15,1984-01-08,5601.72,5669.667403304779
W15,1984-01-15,5737.57,6424.3274324181375
W15,1984-01-22,5232.13,5264.089913678626
W16,1983-10-30,4231.0,5274.982995114002
W16,1983-11-06,4311.68,5435.5052992175915
W16,1983-11-13,3848.09,5567.791228586966
W16,1983-11-20,4149.38,5313.130823319518
W16,1983-11-27,3633.49,5214.926332297552
W16,1983-12-04,3553.49,5352.696682956361
W16,1983-12-11,3743.59,5239.069759114625
W16,1983-12-18,4626.91,5115.588264799959
W16,1983-12-25,4235.48,5126.957481437825
W16,1984-01-01,4288.81,5479.995871412089
W16,1984-01-08,5601.72,5669.594181165994
W16,1984-01-15,5737.57,6421.424092182626
